id,cuisine,ingredients,num_of_ingredients
10259,greek,"romaine lettuce, black olives, grape tomatoes, garlic, pepper, purple onion, seasoning, garbanzo beans, feta cheese crumbles",9
10276,mexican,"chili powder, crushed red pepper flakes, garlic powder, sea salt, ground cumin, onion powder, dried oregano, ground black pepper, paprika",9
11300,filipino,"chicken broth, cooking oil, chinese five-spice powder, ground black pepper, salt, sugar, crushed garlic, chicken thighs, soy sauce, star anise",10
11886,spanish,"large eggs, serrano ham, manchego cheese, butter, dijon mustard, sourdough, membrillo",7
11913,indian,"chicken legs, chile pepper, ghee, tomato paste, fresh ginger root, garlic, chopped cilantro fresh, water, vegetable oil, onions, tomatoes, garam masala, cumin seed, ground turmeric",14
12734,italian,"chopped tomatoes, fresh basil, garlic, extra-virgin olive oil, kosher salt, flat leaf parsley",6
13121,thai,"pork loin, roasted peanuts, chopped cilantro fresh, hoisin sauce, creamy peanut butter, chopped fresh mint, thai basil, rice, medium shrimp, water, rice noodles, beansprouts",12
13162,indian,"black pepper, shallots, cornflour, cayenne pepper, onions, garlic paste, milk, butter, salt, lemon juice, water, chili powder, passata, oil, ground cumin, boneless chicken skinless thigh, garam masala, double cream, natural yogurt, bay leaf",20
16582,moroccan,"tumeric, olive oil, lemon, saffron, tomato paste, pepper, flour, chickpeas, chicken stock, warm water, fresh ginger, salt, tomatoes, fresh cilantro, shallots, fresh parsley",16
16903,mexican,"olive oil, purple onion, fresh pineapple, pork, poblano peppers, corn tortillas, cheddar cheese, ground black pepper, salt, iceberg lettuce, lime, jalapeno chilies, chopped cilantro fresh",13
17610,southern_us,"green onions, cream cheese, shredded cheddar cheese, cayenne pepper, chili powder, garlic cloves, black-eyed peas, tortilla chips",8
18515,french,"sugar, salt, fennel bulb, water, lemon olive oil, grapefruit juice",6
20051,italian,"olive oil, bread slices, great northern beans, garlic cloves, pepper, shrimp, sage leaves, salt",8
20130,filipino,"eggs, pepper, salt, mayonaise, cooking oil, green chilies, grilled chicken breasts, garlic powder, yellow onion, soy sauce, butter, chicken livers",12
20591,jamaican,"stock, curry powder, cracked black pepper, minced beef, onions, plain flour, bread crumbs, butter, garlic, celery, cold water, tumeric, dried thyme, ginger, oil, tomatoes, water, paprika, salt, chillies",20
22087,italian,"ground black pepper, butter, sliced mushrooms, sherry, salt, grated parmesan cheese, heavy cream, spaghetti, chicken broth, cooked chicken, all-purpose flour",11
22213,indian,"water, vegetable oil, wheat, salt",4
24568,italian,"tomatoes, red pepper, olive oil, Italian bread, balsamic vinegar, onions, fresh basil, garlic",8
24717,indian,"tumeric, vegetable stock, tomatoes, garam masala, naan, red lentils, red chili peppers, onions, spinach, sweet potatoes",10
25693,southern_us,"plain flour, ground pepper, salt, tomatoes, ground black pepper, thyme, eggs, green tomatoes, yellow corn meal, milk, vegetable oil",11
26705,chinese,"sugar, lo mein noodles, salt, chicken broth, light soy sauce, flank steak, beansprouts, dried black mushrooms, pepper, chives, oyster sauce, dark soy sauce, peanuts, sesame oil, cabbage",15
27564,chinese,"eggs, mandarin oranges, water, orange liqueur, yellow cake mix, frosting, vegetable oil, white sugar",8
27976,cajun_creole,"herbs, lemon juice, fresh tomatoes, paprika, mango, stock, chile pepper, onions, red chili peppers, oil",10
28302,italian,"Oscar Mayer Deli Fresh Smoked Ham, hoagie rolls, salami, giardiniera, mozzarella cheese, pepperoni, butter, italian seasoning",8
29061,japanese,"top round steak, vegetable oil, shiitake, soy sauce, fresh asparagus, green onions",6
29369,mexican,"tomatoes, chicken breast halves, chopped cilantro fresh, white vinegar, jalapeno chilies, salt, black pepper, vegetable oil, avocado, lettuce leaves, chopped onion",11
29630,chinese,"sesame seeds, red pepper, yellow peppers, water, extra firm tofu, broccoli, soy sauce, orange bell pepper, arrowroot powder, fresh ginger, sesame oil, red curry paste",12
30748,southern_us,"large eggs, whipping cream, chicken broth, ground red pepper, extra sharp cheddar cheese, quickcooking grits, hot sauce, ground black pepper, worcestershire sauce, monterey jack",10
31119,italian,"lemon, pesto, salmon fillets, white wine",4
31634,brazilian,"ice cubes, club soda, white rum, lime, turbinado",5
31908,italian,"fresh parmesan cheese, butter, all-purpose flour, fat free less sodium chicken broth, chopped fresh chives, gruyere cheese, ground black pepper, bacon slices, gnocchi, fat free milk, cooking spray, salt",12
32304,mexican,"cooked chicken, enchilada sauce, sliced green onions, picante sauce, green pepper, corn tortillas, canned black beans, shredded lettuce, sour cream, shredded cheddar cheese, garlic cloves, canola oil",12
33465,thai,"eggs, shallots, firm tofu, beansprouts, turnips, palm sugar, vegetable oil, garlic cloves, sliced chicken, fish sauce, lime wedges, roasted peanuts, green papaya, chile powder, ground black pepper, tamarind paste, chinese chives",17
34419,cajun_creole,"chicken broth, chicken breasts, hot sauce, red bell pepper, potatoes, bacon, garlic cloves, fresh parsley, andouille sausage, cajun seasoning, peanut oil, celery, ground red pepper, all-purpose flour, shrimp, onions",16
34466,british,"greek yogurt, lemon curd, confectioners sugar, raspberries",4
35930,italian,"fresh basil, bay leaves, crushed red pepper, mussels, olive oil, basil, garlic cloves, black pepper, dry white wine, salt, tomatoes, finely chopped onion, linguine, flat leaf parsley",14
36341,indian,"salmon fillets, shallots, cumin seed, fresh cilantro, salt, curry powder, vegetable oil, serrano chile, fresh ginger, sauce",10
37405,southern_us,"collard greens, extra-virgin olive oil, ham hock, chicken stock, apple cider, freshly ground pepper, chile powder, bay leaves, salt, rib, light brown sugar, large garlic cloves, cayenne pepper, onions",14
37963,cajun_creole,"olive oil, diced tomatoes, Johnsonville Andouille Dinner Sausage, parsley, shrimp, jambalaya rice mix, worcestershire sauce, hot pepper sauce, creole seasoning",9
38112,indian,"coarse salt, fenugreek, urad dal, potatoes, white rice, vegetable oil",6
38233,thai,"sugar, chicken thighs, cooking oil, fish sauce, garlic, black pepper",6
39250,italian,"olive oil, onions, crushed garlic, dried oregano, green onions, white sugar, dried basil, diced tomatoes",8
39267,thai,"lemongrass, large garlic cloves, rice, unsweetened coconut milk, fresh ginger, peanut sauce, spareribs, sesame oil, tamari soy sauce, golden brown sugar, dry sherry, boiling water",12
40429,italian,"yellow corn meal, boiling water, butter, fresh parmesan cheese, sea salt",5
40523,mexican,"roma tomatoes, kosher salt, purple onion, jalapeno chilies, lime, chopped cilantro",6
40989,southern_us,"low-fat mayonnaise, pepper, salt, baking potatoes, eggs, spicy brown mustard",6
41995,mexican,"ground cinnamon, fresh cilantro, chili powder, ground coriander, kosher salt, ground black pepper, garlic, plum tomatoes, avocado, lime juice, flank steak, salt, ground cumin, black pepper, olive oil, crushed red pepper flakes, onions",17
42779,spanish,"olive oil, salt, medium shrimp, pepper, garlic, chopped cilantro, jalapeno chilies, flat leaf parsley, skirt steak, white vinegar, sea salt, bay leaf, chorizo sausage",13
43769,french,"orange juice concentrate, pumpkin purée, marshmallow creme, toasted pecans, maple syrup, ground cinnamon, gingersnap, ground nutmeg, cream cheese",9
43928,thai,"extra firm tofu, coconut milk, fresh basil, red curry paste, eggplant, red bell pepper, vegetable oil, onions",8
44902,southern_us,"sugar, large eggs, all-purpose flour, baking soda, buttermilk, honey, corn oil, yellow corn meal, unsalted butter, salt",10
45839,indian,"burger buns, fresh cilantro, chili powder, garlic cloves, panko breadcrumbs, chickpea flour, pepper, Sriracha, chickpeas, carrots, ground flaxseed, soy sauce, olive oil, salt, lemon juice, greens, spinach, curry powder, tahini, scallions, onions, ground cumin",22
45887,chinese,"low sodium soy sauce, fresh ginger, dry mustard, green beans, white pepper, sesame oil, scallions, canola oil, sugar, Shaoxing wine, garlic, ground turkey, water, crushed red pepper flakes, corn starch",15
47028,japanese,"melted butter, matcha green tea powder, white sugar, milk, all-purpose flour, eggs, salt, baking powder, chopped walnuts",9
49111,southern_us,"black pepper, white sugar, white vinegar, salt, bacon, brown sugar, green beans",7
49136,italian,"marinara sauce, flat leaf parsley, olive oil, linguine, capers, crushed red pepper flakes, olives, lemon zest, garlic",9
